owner,repo,number,title,comments,pr,bug,feature,unlabelled,reaction_p1,reaction_other
tidymodels,broom,158,Clarity regarding GLM,2,FALSE,FALSE,FALSE,FALSE,4,0
tidymodels,broom,124,no .resid column with augment.lm and newdata,5,FALSE,FALSE,FALSE,FALSE,4,0
tidymodels,recipes,175,Median Imputation: step_medianimpute(),1,FALSE,FALSE,FALSE,TRUE,4,0
tidymodels,recipes,171,step_lag should have an order_by argument,0,FALSE,FALSE,FALSE,TRUE,4,0
tidymodels,recipes,112,check distribution shift continuous variables,0,FALSE,FALSE,FALSE,TRUE,4,0
tidymodels,recipes,48,parallelization,0,FALSE,FALSE,FALSE,FALSE,4,0
tidymodels,recipes,175,Median Imputation: step_medianimpute(),1,FALSE,FALSE,FALSE,TRUE,4,0
tidymodels,recipes,171,step_lag should have an order_by argument,0,FALSE,FALSE,FALSE,TRUE,4,0
tidymodels,recipes,112,check distribution shift continuous variables,0,FALSE,FALSE,FALSE,TRUE,4,0
tidymodels,recipes,48,parallelization,0,FALSE,FALSE,FALSE,FALSE,4,0
tidymodels,tidyposterior,19,Explicitly document / LaTeX up the form of tidyposterior models,0,FALSE,FALSE,FALSE,TRUE,4,0
tidymodels,tidyposterior,19,Explicitly document / LaTeX up the form of tidyposterior models,0,FALSE,FALSE,FALSE,TRUE,4,0
tidymodels,yardstick,20,Facilitate per-group metrics,0,FALSE,FALSE,FALSE,TRUE,4,0
tidymodels,yardstick,19,Potential missing negation in mnLogLoss,0,FALSE,FALSE,FALSE,TRUE,4,0
tidymodels,yardstick,20,Facilitate per-group metrics,0,FALSE,FALSE,FALSE,TRUE,4,0
tidymodels,yardstick,19,Potential missing negation in mnLogLoss,0,FALSE,FALSE,FALSE,TRUE,4,0
hadley,dtplyr,27,More efficient spread() and gather(),0,FALSE,FALSE,FALSE,TRUE,4,0
jimhester,lintr,318,Help collaborate on lintr!,29,FALSE,FALSE,FALSE,FALSE,4,4
jimhester,lintr,242,Space between function right parenthesis and function open curly,5,FALSE,FALSE,FALSE,TRUE,4,0
jimhester,lintr,188,curly braces linter and comments,2,FALSE,FALSE,FALSE,TRUE,4,0
tidymodels,recipes,175,Median Imputation: step_medianimpute(),1,FALSE,FALSE,FALSE,TRUE,4,0
tidymodels,recipes,171,step_lag should have an order_by argument,0,FALSE,FALSE,FALSE,TRUE,4,0
tidymodels,recipes,112,check distribution shift continuous variables,0,FALSE,FALSE,FALSE,TRUE,4,0
tidymodels,recipes,48,parallelization,0,FALSE,FALSE,FALSE,FALSE,4,0
tidymodels,recipes,175,Median Imputation: step_medianimpute(),1,FALSE,FALSE,FALSE,TRUE,4,0
tidymodels,recipes,171,step_lag should have an order_by argument,0,FALSE,FALSE,FALSE,TRUE,4,0
tidymodels,recipes,112,check distribution shift continuous variables,0,FALSE,FALSE,FALSE,TRUE,4,0
tidymodels,recipes,48,parallelization,0,FALSE,FALSE,FALSE,FALSE,4,0
tidymodels,yardstick,20,Facilitate per-group metrics,0,FALSE,FALSE,FALSE,TRUE,4,0
tidymodels,yardstick,19,Potential missing negation in mnLogLoss,0,FALSE,FALSE,FALSE,TRUE,4,0
tidymodels,yardstick,20,Facilitate per-group metrics,0,FALSE,FALSE,FALSE,TRUE,4,0
tidymodels,yardstick,19,Potential missing negation in mnLogLoss,0,FALSE,FALSE,FALSE,TRUE,4,0
tidymodels,tidyposterior,19,Explicitly document / LaTeX up the form of tidyposterior models,0,FALSE,FALSE,FALSE,TRUE,4,0
tidymodels,tidyposterior,19,Explicitly document / LaTeX up the form of tidyposterior models,0,FALSE,FALSE,FALSE,TRUE,4,0
tidyverse,dplyr,3695,Reinstate support for filtering and arranging lubridate Periods and Intervals,3,FALSE,FALSE,FALSE,TRUE,3,0
tidyverse,dplyr,2995,"dplyr feature request, between() for character variables.",1,FALSE,FALSE,TRUE,FALSE,3,0
tidyverse,dplyr,1092,Support for integer64 column in data frame?,8,FALSE,FALSE,TRUE,FALSE,3,0
tidyverse,dplyr,977,n_distinct way slower than length(unique),13,FALSE,FALSE,TRUE,FALSE,3,0
tidyverse,forcats,100,Integrate fct_other functionality into fct_collapse,4,FALSE,FALSE,FALSE,TRUE,3,0
tidyverse,ggplot2,2743,Use markdown for italic/bold in titles,7,FALSE,FALSE,TRUE,FALSE,3,0
tidyverse,ggplot2,2718,Ploting POINT sf with geom_sf() is slow,19,FALSE,FALSE,FALSE,TRUE,3,0
tidyverse,ggplot2,2709,Using position_stack() with text geom in stat_summary(),0,FALSE,FALSE,FALSE,TRUE,3,0
tidyverse,purrr,374,flatten_dfr drops all elements except the first,1,FALSE,TRUE,FALSE,FALSE,3,0
tidyverse,purrr,253,accumulate_while,4,FALSE,FALSE,TRUE,FALSE,3,0
tidyverse,readr,633,support for 64 bits integer using bit64 and integer64,0,FALSE,FALSE,TRUE,FALSE,3,0
tidyverse,reprex,184,reprex the unreprexable,0,FALSE,FALSE,FALSE,FALSE,3,0
r-lib,covr,277,Coverage For Shiny Applications,3,FALSE,FALSE,TRUE,FALSE,3,0
r-lib,debugme,32,WISH: Near-zero overhead assertions,2,FALSE,FALSE,FALSE,TRUE,3,0
r-lib,httr,487,transfer closed with outstanding read data remaining,0,FALSE,FALSE,FALSE,TRUE,3,0
r-lib,pillar,97,Feature Request: pillar.round = FALSE,2,FALSE,FALSE,FALSE,TRUE,3,0
r-lib,pkgdown,606,Continuous build options,2,FALSE,FALSE,TRUE,FALSE,3,0
r-lib,progress,26,Multiple progress bars,6,FALSE,FALSE,FALSE,TRUE,3,0
r-lib,testthat,767,modifying condition to get encoding deprecation message,2,TRUE,FALSE,FALSE,FALSE,3,0
r-lib,testthat,754,`encoding` is deprecated; all files now assumed to be UTF-8,2,FALSE,FALSE,FALSE,TRUE,3,0
r-lib,usethis,346,Tools to help with branching and pull requests,0,FALSE,FALSE,FALSE,TRUE,3,0
r-lib,usethis,221,use_github(): be more resilient to partial setup,1,FALSE,FALSE,TRUE,FALSE,3,0
r-lib,vctrs,23,Vectorized isTRUE() and friends,2,FALSE,FALSE,FALSE,TRUE,3,0
tidymodels,broom,484,Announcement: The State of Broom,0,FALSE,FALSE,FALSE,TRUE,3,0
tidymodels,broom,229,Request support for `drc` models,0,FALSE,FALSE,FALSE,FALSE,3,0
hadley,dtplyr,51,"Error in .subset(x, j) : invalid subscript type 'language' when using mutate_all",8,FALSE,FALSE,FALSE,TRUE,3,0
hadley,dtplyr,38,"Assembling a DT[i, j, by] with dplyr verbs",0,FALSE,FALSE,FALSE,TRUE,3,0
jimhester,lintr,218,Include RStudio add-ins,0,FALSE,FALSE,FALSE,TRUE,3,0
jimhester,lintr,77,Space before parenthesis: c((x + y) * z),4,FALSE,TRUE,FALSE,FALSE,3,0
topepo,caret,463,Feature suggestion - LIME,1,FALSE,FALSE,FALSE,TRUE,3,0
klutometis,roxygen,669,Optionally include README.md in package description,1,FALSE,FALSE,TRUE,FALSE,3,0
tidyverse,dplyr,3788,benchmark results filtering within and outside grouping ,8,FALSE,FALSE,FALSE,TRUE,2,0
tidyverse,dplyr,3357,order_by() could have an error hint when confused with arrange(),2,FALSE,FALSE,TRUE,FALSE,2,0
tidyverse,dplyr,3110,Investigate Boost.Sort,0,FALSE,FALSE,FALSE,FALSE,2,0
tidyverse,dplyr,2183,feature request : add `merge` indicator after a merge in dplyr,13,FALSE,FALSE,TRUE,FALSE,2,0
tidyverse,dplyr,2132,Summarising verbs with variable-length outputs,7,FALSE,FALSE,TRUE,FALSE,2,0
tidyverse,ggplot2,2534,Close Contours Correctly for `geom='polygon'` in stat_contour,9,FALSE,FALSE,TRUE,FALSE,2,0
tidyverse,ggplot2,2507,"`position = ""jitter""` and `position = position_jitter()` have different behavior",4,FALSE,TRUE,FALSE,FALSE,2,0
tidyverse,ggplot2,2377,Add support for integer64 variable types,2,FALSE,FALSE,TRUE,FALSE,2,0
tidyverse,ggplot2,2244,Allow `dup_axis` within `scale_x_date`,15,FALSE,FALSE,TRUE,FALSE,2,0
tidyverse,ggplot2,1745,geom_dotplot dot layout with groups,5,FALSE,TRUE,FALSE,FALSE,2,0
tidyverse,ggplot2,980,"sqrt_trans, scale limit expansion, and missing breaks",7,FALSE,FALSE,TRUE,FALSE,2,0
tidyverse,googledrive,206,Unshare google drive folder/file,3,FALSE,FALSE,FALSE,TRUE,2,0
tidyverse,googledrive,200,drive_upload entire folders?,5,FALSE,FALSE,FALSE,TRUE,2,0
tidyverse,googledrive,79,Unable to authorize from Rstudio Server,3,FALSE,FALSE,FALSE,FALSE,2,0
tidyverse,magrittr,120,Lazy version of the pipe,19,FALSE,FALSE,TRUE,FALSE,2,0
tidyverse,magrittr,75,Should magrittr handle monadic binding?,15,FALSE,FALSE,TRUE,FALSE,2,0
tidyverse,modelr,34,Can't specify `type` in add_predictions(),2,FALSE,FALSE,FALSE,TRUE,2,0
tidyverse,purrr,498,reduce2_right,1,FALSE,TRUE,FALSE,FALSE,2,0
tidyverse,readr,870,Add write_csv2 for consistency,0,TRUE,FALSE,FALSE,FALSE,2,0
tidyverse,readr,866,suggestion: implement a write_csv2 to write what read_csv2 reads,1,FALSE,FALSE,FALSE,TRUE,2,0
tidyverse,readr,810,parse_factor() is the only parser that lacks a single character shortcode,1,FALSE,FALSE,TRUE,FALSE,2,0
tidyverse,readr,793,Disable progress bar when in R-notebooks,1,FALSE,TRUE,TRUE,FALSE,2,0
tidyverse,readr,770,Better csvy support,0,FALSE,FALSE,TRUE,FALSE,2,0
tidyverse,readr,444,Currency parser,3,FALSE,FALSE,TRUE,FALSE,2,0
tidyverse,reprex,190,fling reprex on the internet e.g. as a gist,1,FALSE,FALSE,FALSE,TRUE,2,0
tidyverse,tibble,155,`[` drops attributes of df,25,FALSE,FALSE,FALSE,FALSE,2,1
tidyverse,tibble,114,Remove support for row names,16,FALSE,FALSE,FALSE,FALSE,2,0
tidyverse,tidyr,485,fill() `...` description is misleading,0,FALSE,FALSE,FALSE,TRUE,2,0
tidyverse,tidyr,436,Allow for NULL in list column when unnesting?,3,FALSE,FALSE,FALSE,TRUE,2,0
tidyverse,tidyr,341,FR: promote() to create new variable from a list column,12,FALSE,FALSE,TRUE,FALSE,2,0
tidyverse,tidyverse,70,Error installing tidyverse on macOS 10.10.5/R 3.4.1 ,18,FALSE,FALSE,FALSE,TRUE,2,0
r-lib,devtools,1729,track install_github() installs?,8,FALSE,FALSE,TRUE,FALSE,2,3
r-lib,devtools,1564,Suggestion: adding markers to the output of devtools::spell_check(),1,FALSE,FALSE,TRUE,FALSE,2,0
r-lib,fs,82,FR: dir_tree(),1,FALSE,FALSE,TRUE,FALSE,2,0
r-lib,gh,57,"downloading binary file associated with a release (an ""asset"")",1,FALSE,FALSE,FALSE,TRUE,2,0
r-lib,httr,493,support for OAuth2 in Yahoo API,2,FALSE,FALSE,FALSE,TRUE,2,0
r-lib,httr,417,Global option to use Internet explorer proxy settings,13,FALSE,FALSE,TRUE,FALSE,2,0
r-lib,pkgdown,327,Two levels of nesting in reference index ,3,FALSE,FALSE,TRUE,FALSE,2,0
r-lib,progress,27,Functions to add progress bars to for loops and apply functions,15,FALSE,FALSE,FALSE,TRUE,2,0
r-lib,R6,104,autocomplete for Class$new() parameters.,2,FALSE,FALSE,FALSE,TRUE,2,0
r-lib,sessioninfo,1,Pretty print session info in Rmds,1,FALSE,FALSE,FALSE,TRUE,2,0
r-lib,svglite,84,Support multiple pages,0,FALSE,FALSE,FALSE,TRUE,2,0
r-lib,testthat,658,Post-mortem debugging?,1,FALSE,FALSE,TRUE,FALSE,2,0
r-lib,testthat,591,Reconsider directory layout and contexts,3,FALSE,FALSE,TRUE,FALSE,2,0
r-lib,usethis,349,Adapt to travis policy changes for open source project on travis-ci.com ,0,FALSE,FALSE,FALSE,TRUE,2,0
r-lib,usethis,137,Create new release helper,0,FALSE,FALSE,TRUE,FALSE,2,0
r-lib,usethis,108,Consider encouraging the use of ORCID IDs in DESCRIPTION template,8,FALSE,FALSE,TRUE,FALSE,2,2
r-lib,vctrs,28,migrate plyr::mapvalues() to vctrs?,4,FALSE,FALSE,FALSE,TRUE,2,0
r-dbi,DBI,143,Interface to call stored procedure with various parameters and their attributes need to be supported in DBI,1,FALSE,FALSE,FALSE,TRUE,2,0
r-dbi,DBI,69,Think about asynchronous operations,4,FALSE,FALSE,FALSE,FALSE,2,0
r-dbi,odbc,151,Inconsistent error about prepared statement already existing,5,FALSE,FALSE,FALSE,FALSE,2,0
r-dbi,odbc,79,"dbWriteTable() throwing an ""Invalid precision value"" error with Access",2,FALSE,TRUE,FALSE,FALSE,2,0
r-dbi,RMySQL,222,Failure to use ~/.my.cnf beginning with v0.10.14,1,FALSE,FALSE,FALSE,TRUE,2,0
r-dbi,RMySQL,208,Date datetype is written as text,0,FALSE,FALSE,FALSE,FALSE,2,0
r-dbi,RMySQL,40,Execution halted with large queries,21,FALSE,FALSE,FALSE,FALSE,2,0
r-dbi,RPostgres,181,SSL dbConnect Failing,1,FALSE,FALSE,FALSE,TRUE,2,0
r-dbi,RPostgres,137,[feature request] - dbWritetable from local/remote file,0,FALSE,FALSE,FALSE,TRUE,2,0
tidymodels,broom,256,Simplifying Extensions of `broom`,4,FALSE,FALSE,FALSE,TRUE,2,0
tidymodels,broom,170,Compatibility with speedglm objects,2,FALSE,FALSE,FALSE,FALSE,2,0
tidymodels,broom,97,"spatial model support for tidy, glance, and augment",1,FALSE,FALSE,FALSE,FALSE,2,0
tidymodels,rsample,42,"A idea for an example, rolling_origin() over irregular time chunks",12,FALSE,FALSE,FALSE,TRUE,2,0
tidymodels,rsample,40,"Expose ""constructors"" for rsample & rset objects",0,FALSE,FALSE,FALSE,TRUE,2,0
tidymodels,rsample,31,Concordance in Survival Analysis example,1,FALSE,FALSE,FALSE,TRUE,2,0
tidymodels,rsample,42,"A idea for an example, rolling_origin() over irregular time chunks",12,FALSE,FALSE,FALSE,TRUE,2,0
tidymodels,rsample,40,"Expose ""constructors"" for rsample & rset objects",0,FALSE,FALSE,FALSE,TRUE,2,0
tidymodels,rsample,31,Concordance in Survival Analysis example,1,FALSE,FALSE,FALSE,TRUE,2,0
hadley,emo,12,emoji keyboard,1,FALSE,FALSE,FALSE,TRUE,2,2
hadley,lazyeval,78,Unquoting does not work when not imported,0,FALSE,FALSE,FALSE,TRUE,2,1
hadley,multidplyr,54,Allow to copy several objects in one call to cluster_copy,0,TRUE,FALSE,FALSE,FALSE,2,0
hadley,rvest,164,Excluding rows/nodes to help html_table,1,FALSE,FALSE,FALSE,TRUE,2,0
jennybc,repurrrsive,2,Data source idea: Pokemon API,0,FALSE,FALSE,FALSE,TRUE,2,0
jimhester,gmailr,78,"Non-ASCII characters in ""To"" header",0,FALSE,FALSE,FALSE,TRUE,2,0
jimhester,gmailr,77,Smartquotes cause error in encoding as quoted printable,2,FALSE,FALSE,FALSE,TRUE,2,0
jimhester,lintr,322,Lint fails with Rmd chunks using {lang} engine format,0,FALSE,FALSE,FALSE,TRUE,2,0
jimhester,lintr,305,enforce camelCase only in R code not in test folders,0,FALSE,FALSE,FALSE,TRUE,2,0
jimhester,lintr,166,Failed with GitLab CI,1,FALSE,TRUE,TRUE,FALSE,2,0
klutometis,roxygen,784,Behaviour of load_code in roxygenize(),7,FALSE,FALSE,FALSE,TRUE,2,0
klutometis,roxygen,761,Documentation for @evalRd,0,FALSE,FALSE,FALSE,FALSE,2,0
klutometis,roxygen,707,"How to fix ""Rd warning missing file link"" when linking to an alias",0,FALSE,FALSE,TRUE,FALSE,2,2
klutometis,roxygen,409,More compact syntax for re-exported objects,14,FALSE,FALSE,TRUE,FALSE,2,0
tidyverse,dbplyr,146,WIP: Generic joins,1,TRUE,FALSE,FALSE,FALSE,1,0
tidyverse,dbplyr,144,SQLite gains support for window functions in 3.25.0,0,FALSE,FALSE,FALSE,TRUE,1,0
tidyverse,dbplyr,132,"Using .data pronoun in filter, mutate, and transmute does not work with DBI",1,FALSE,FALSE,FALSE,TRUE,1,0
tidyverse,dplyr,3768,"Documentation of NA types (NA_real_, etc.) in recode function",2,FALSE,FALSE,FALSE,TRUE,1,0
tidyverse,dplyr,3703,Feature Request (or Documentation and Error Message Request): Vectorize between,1,FALSE,FALSE,TRUE,FALSE,1,0
tidyverse,dplyr,3433,Implement a safer alternative to funs(),8,FALSE,FALSE,TRUE,FALSE,1,0
tidyverse,dplyr,3429,Implement and use reconstruct() internally,3,FALSE,FALSE,TRUE,FALSE,1,0
tidyverse,dplyr,3383,Update performance measurements,0,FALSE,FALSE,FALSE,FALSE,1,0
tidyverse,dplyr,3335,filtering wide tibble is slow,14,FALSE,FALSE,FALSE,FALSE,1,0
tidyverse,dplyr,3278,bind_rows should have col_type argument,4,FALSE,FALSE,TRUE,FALSE,1,0
tidyverse,dplyr,3267,Feature Request:  Preferred Column Values After Merge,5,FALSE,FALSE,TRUE,FALSE,1,0
tidyverse,dplyr,2984,Show example of vars() with mutate_at() in select_helpers,1,FALSE,FALSE,FALSE,FALSE,1,0
tidyverse,dplyr,2922,Investigate R_ObjectTables ,15,FALSE,FALSE,TRUE,FALSE,1,0
tidyverse,dplyr,2457,Better dispatching strategy in bind_rows(),8,FALSE,FALSE,TRUE,FALSE,1,0
tidyverse,dplyr,2355,"Use serialization for columns of type ""list""",4,FALSE,FALSE,TRUE,FALSE,1,0
tidyverse,forcats,136,Create an interaction variable from two or more factors,0,FALSE,FALSE,FALSE,TRUE,1,0
tidyverse,forcats,132,Add a cut() method,2,FALSE,FALSE,FALSE,TRUE,1,0
tidyverse,forcats,126,Proposal: fct_match with validation,0,FALSE,FALSE,FALSE,TRUE,1,0
tidyverse,forcats,43,FR: Improve fct_lump() behavior for factors with many rare levels,3,FALSE,FALSE,TRUE,FALSE,1,0
tidyverse,forcats,28,factor lump for ordinal factors,4,FALSE,FALSE,TRUE,FALSE,1,0
tidyverse,ggplot2,2789,Enable search on ggplot2 website,0,FALSE,FALSE,FALSE,TRUE,1,0
tidyverse,ggplot2,2781,"Add new parameter ""preset"" for ggsave() to specify width/height at once",0,TRUE,FALSE,FALSE,FALSE,1,0
tidyverse,ggplot2,2710,Range functions should be exported,6,FALSE,FALSE,FALSE,TRUE,1,0
tidyverse,ggplot2,2673,"Provide a guide that has discrete colors, but labels shifted between them to highlight intervals",16,FALSE,FALSE,FALSE,TRUE,1,0
tidyverse,ggplot2,2334,Allow functional limits in continuous scales,1,TRUE,FALSE,FALSE,FALSE,1,0
tidyverse,ggplot2,2239,Geoms and scales: default settings in theme,18,FALSE,FALSE,TRUE,FALSE,1,0
tidyverse,googledrive,230,Consistent naming and overwrite for drive_upload,5,FALSE,FALSE,FALSE,TRUE,1,0
tidyverse,googledrive,219,📝 Write an article about retrieving revision content,0,FALSE,FALSE,FALSE,TRUE,1,0
tidyverse,googledrive,93,Apply drive_id class to the id variable in a dribble,2,FALSE,FALSE,FALSE,FALSE,1,0
tidyverse,googlesheets4,2,API Discovery Service,2,FALSE,FALSE,FALSE,TRUE,1,0
tidyverse,haven,340,Add pillar printing for the labelled class,2,FALSE,FALSE,TRUE,FALSE,1,0
tidyverse,lubridate,703,"leap_year() not working for a new class ""yearmonth""",0,FALSE,FALSE,FALSE,TRUE,1,0
tidyverse,lubridate,611,Add function season(),6,FALSE,FALSE,FALSE,TRUE,1,0
tidyverse,lubridate,293,ISOWEEK and ISOYEAR options for Floor/Ceil/Round,2,FALSE,FALSE,FALSE,FALSE,1,0
tidyverse,magrittr,135,Tee function?,6,FALSE,FALSE,TRUE,FALSE,1,0
tidyverse,magrittr,121,Surprising result with data.frame subset using dot,8,FALSE,FALSE,FALSE,TRUE,1,0
tidyverse,magrittr,29,R CMD check and no visible binding for global variable '.',11,FALSE,FALSE,FALSE,FALSE,1,0
tidyverse,principles,9,Roundtrips,0,FALSE,FALSE,FALSE,TRUE,1,0
tidyverse,purrr,542,Fix outdated version number,0,TRUE,FALSE,FALSE,FALSE,1,0
tidyverse,purrr,511,feature request: accumulate2,0,FALSE,FALSE,FALSE,TRUE,1,0
tidyverse,purrr,481,Pluck documentation needs more basic examples,1,FALSE,FALSE,FALSE,FALSE,1,0
tidyverse,purrr,472,map_dfr() column binds vectors,1,FALSE,FALSE,TRUE,FALSE,1,0
tidyverse,purrr,428,walk and walk2 treat language objects differently,2,FALSE,TRUE,FALSE,FALSE,1,0
tidyverse,purrr,382,pluck<-,4,FALSE,FALSE,TRUE,FALSE,1,0
tidyverse,purrr,366,Friendlier compose(),21,FALSE,FALSE,TRUE,FALSE,1,0
tidyverse,purrr,336,Could as_vector() and simplify() have some notion of .default?,3,FALSE,FALSE,TRUE,FALSE,1,0
tidyverse,readr,876,Explore ryu for float -> string conversion,0,FALSE,FALSE,FALSE,TRUE,1,0
tidyverse,readr,862,parse_factor() make levels = NULL the default,1,FALSE,FALSE,TRUE,FALSE,1,0
tidyverse,readr,856,Next CRAN release?,5,FALSE,FALSE,FALSE,TRUE,1,0
tidyverse,readr,845,"write_csv treatment of ""small"" numerical values",1,FALSE,TRUE,FALSE,FALSE,1,0
tidyverse,readr,844,suggest to change default quote parameter for tsv,3,FALSE,FALSE,TRUE,FALSE,1,0
tidyverse,readr,796,`parse_number` can't handle special space character as grouping_mark locale argument,3,FALSE,FALSE,TRUE,FALSE,1,0
tidyverse,readr,791,Revisit progress bar feature for write functions.,0,FALSE,FALSE,TRUE,FALSE,1,0
tidyverse,readr,784,read_csv adds extra rows if headers contain quoted newlines,0,FALSE,TRUE,FALSE,FALSE,1,0
tidyverse,readr,759,selective quoting causes Excel to treat .csv as UTF-16 (.txt) on next save,2,FALSE,FALSE,TRUE,FALSE,1,0
tidyverse,readr,723,write_csv() and friends should be able to write a matrix,3,FALSE,FALSE,TRUE,FALSE,1,0
tidyverse,readr,717,make 'read_table()' behave like `read.table()`,2,FALSE,FALSE,TRUE,FALSE,1,0
tidyverse,readr,637,accept PRs to enhance read_fwf to deal with decimal places and overlaping  columns,1,FALSE,FALSE,TRUE,FALSE,1,0
tidyverse,readxl,361,column type conversion warnings can be overwhelming,4,FALSE,FALSE,FALSE,TRUE,1,0
tidyverse,readxl,360,Better guessing of desired precision when coercing double to character,9,FALSE,FALSE,TRUE,FALSE,1,0
tidyverse,readxl,350,Add support for .xlw,1,FALSE,FALSE,FALSE,TRUE,1,0
tidyverse,readxl,317,Report on named ranges,6,FALSE,FALSE,FALSE,FALSE,1,0
